,Word,Frequency
469,come,52
470,prison,52
471,strike,51
472,republican,51
473,evidence,51
474,night,51
475,list,51
476,likely,51
477,lost,51
478,parliament,51
479,eastern,51
480,job,50
481,game,50
482,soon,50
483,space,50
484,leave,50
485,office,50
486,scientists,50
487,wrong,50
488,democratic,49
489,key,49
490,didnt,49
491,special,49
492,church,49
493,major,49
494,missing,49
495,google,49
496,paper,49
497,camp,49
498,irish,49
499,january,49
500,supreme,49
501,economic,49
502,kim,49
503,faces,49
504,deep,49
505,female,49
506,league,49
507,happened,49
508,tech,49
509,every,48
510,street,48
511,weiner,48
512,keep,48
513,alert,48
514,force,48
515,king,48
516,secretary,48
517,guilty,48
518,test,48
519,crime,48
520,hits,48
521,cold,48
522,vs,48
523,assault,47
524,doesnt,47
525,paid,47
526,long,47
527,sexual,47
528,mass,47
529,-year-old,47
530,migrants,46
531,reports,46
532,start,46
533,wildfires,46
534,football,46
535,battle,46
536,held,46
537,give,46
538,central,46
539,least,46
540,gives,46
541,red,46
542,admits,46
543,huma,46
544,afghanistan,46
545,away,46
546,defeat,46
547,immigration,46
548,jail,45
549,drug,45
550,european,45
551,administration,45
552,polls,45
553,legal,45
554,journalist,45
555,climate,45
556,tap,45
557,much,45
558,surprise,45
559,debate,45
560,powerful,44
561,put,44
562,collapse,44
563,gorafi,44
564,bombshell,44
565,let,44
566,social,44
567,halloween,44
568,exclusive,44
569,series,44
570,happy,44
571,defense,43
572,nation,43
573,talk,43
574,trial,43
575,kenya,43
576,college,43
577,far,43
578,called,42
579,risk,42
580,civilians,42
581,tsunami,42
582,running,42
583,hate,42
584,radio,42
585,islamic,42
586,cash,42
587,forecast,42
588,supporter,42
589,doj,42
590,become,41
591,sanctions,41
592,reveal,41
593,england,41
594,financial,41
595,internet,41
596,wife,41
597,trying,41
598,earth,41
599,press,41
600,refugee,41
601,voice,41
602,urges,41
603,hours,41
604,claim,41
605,ends,41
606,staff,41
607,crowd,41
608,mother,41
609,african,41
610,town,41
611,muslims,41
612,network,41
613,outlook,41
614,art,41
615,victims,40
616,exposes,40
617,demands,40
618,build,40
619,terrorists,40
620,bbcnorthamerica,40
621,threatens,40
622,revolution,40
623,fears,40
624,spain,40
625,months,40
626,fighting,40
627,loses,40
628,getting,40
629,spy,40
630,gop,40
631,london,40
632,daughter,40
633,already,40
634,continues,40
635,alleged,40
636,reason,39
637,winter,39
638,banned,39
639,worse,39
640,silver,39
641,project,39
642,land,39
643,third,39
644,private,39
645,bus,39
646,elected,39
647,crimes,39
648,indonesia,38
649,vladimir,38
650,iraqi,38
651,cop,38
652,western,38
653,lives,38
654,teen,38
655,using,38
656,pakistan,38
657,democrat,38
658,study,38
659,hospital,38
660,freedom,38
661,israeli,38
662,восточное,38
663,обозрение,38
664,no-deal,38
665,david,38
666,terror,38
667,thing,38
668,lawyer,38
669,seeks,38
670,новое,38
671,moscow,38
672,fed,37
673,chaos,37
674,close,37
675,nothing,37
676,deadly,37
677,due,37
678,yet,37
679,search,37
680,signs,37
681,reasons,37
682,revealed,37
683,photo,37
684,deaths,37
685,intelligence,37
686,student,37
687,friday,37
688,civil,37
689,machines,37
690,service,37
691,hollywood,37
692,book,37
693,making,37
694,reporter,37
695,funding,36
696,ruling,36
697,aide,36
